ts,user_id_hash,ip_hash,ua_family,device_type,country_ip,asn_ip,device_seen_before_user,cookie_seen_before_user,attempts_1m_by_ip,attempts_5m_by_ip,attempts_1m_by_user,attempts_5m_by_user,fail_ratio_10m_by_ip,burst_length_ip,inter_attempt_ms_ip,geo_velocity_user,y
2025-09-10T10:00:01,u40,ip2,Firefox,mobile,US,asn1,1,1,1,3,1,1,0.034417238,1,6837,22.69063824,0
2025-09-10T10:00:05,uX141,ipZ72,Firefox,desktop,BR,asn13,0,0,34,66,13,30,0.891448009,33,159,11557.45728,1
2025-09-10T10:00:17,uX101,ipZ298,Unknown,mobile,RU,asn12,0,0,28,96,9,20,0.926978345,11,77,14732.45265,1
2025-09-10T10:00:21,u75,ip112,Edge,desktop,AU,asn4,1,1,2,2,1,2,0.018281794,1,2913,9.127114696,0
2025-09-10T10:00:32,u41,ip76,Safari,mobile,AU,asn4,1,1,2,2,1,2,0.052419079,1,9073,16.56211387,0
2025-09-10T10:00:35,uX289,ipZ227,Unknown,mobile,RU,asn7,0,0,31,84,7,18,0.910159047,26,188,3054.34443,1
2025-09-10T10:00:46,u11,ip32,Firefox,mobile,AU,asn2,1,0,0,0,1,1,0.024336214,1,10627,35.2341639,0
2025-09-10T10:00:49,uX43,ipZ245,Unknown,desktop,AU,asn12,0,0,29,67,10,32,0.987053578,39,285,11805.63117,1
2025-09-10T10:01:04,uX57,ipZ34,Firefox,desktop,RU,asn10,0,0,26,77,9,25,0.900739425,23,275,8076.467099,1
2025-09-10T10:01:07,u32,ip63,Chrome,desktop,AU,asn4,1,1,1,2,0,0,0.221353002,1,12025,4.582057191,0
2025-09-10T10:01:15,uX267,ipZ125,Unknown,mobile,RU,asn8,0,0,25,63,6,22,0.828446694,22,86,7951.789493,1
2025-09-10T10:01:24,u72,ip115,Firefox,desktop,AU,asn4,0,1,1,1,0,0,0.030329652,5,9527,1.198830246,0
2025-09-10T10:01:36,u35,ip6,Firefox,mobile,AU,asn2,1,1,1,3,0,1,0.021522486,1,6746,16.44436529,0
2025-09-10T10:01:39,uX52,ipZ127,Chrome,mobile,RU,asn13,0,0,15,94,6,26,0.861078158,25,56,12548.56577,1
2025-09-10T10:01:46,uX169,ipZ194,Unknown,desktop,CN,asn7,0,0,13,50,12,22,0.927064612,10,130,5185.59168,1
2025-09-10T10:01:46,u18,ip72,Chrome,desktop,US,asn5,0,1,3,4,0,1,0.064401378,1,8532,1.095454577,0
